Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"David Peterson","NYM",6,4,3.176470588235294,17,17,10,1,1,0,0,0,102,430,93,40,36,7,37,1,5,3,1,87,"David Peterson",20302,656849
"Tanner Bibee","CLE",4,9,4.195946054096378,17,17,7,1,0,0,0,0,98.2,415,92,49,46,15,30,1,7,2,1,87,"Tanner Bibee",30134,676440
"Nick Lodolo","CIN",5,5,3.5176057283000066,17,17,9,1,0,0,0,0,94.2,398,89,39,37,13,20,0,11,2,1,85,"Nick Lodolo",26378,666157
"Mitch Keller","PIT",3,10,3.639498606690726,18,18,12,0,0,0,0,0,106.1,445,101,47,43,7,26,0,5,2,0,84,"Mitch Keller",17594,656605
"Dustin May","LAD",5,5,4.516728752639055,16,16,8,0,0,0,0,0,89.2,386,82,49,45,13,36,3,7,1,0,84,"Dustin May",19716,669160
"Seth Lugo","KCR",6,5,2.6526317919786786,16,16,9,0,0,0,0,0,95,379,74,30,28,13,30,1,3,3,0,83,"Seth Lugo",12447,607625
"Gavin Williams","CLE",5,4,3.857143084383524,17,17,5,0,0,0,0,0,86.1,375,77,42,37,12,49,0,2,5,1,82,"Gavin Williams",30122,668909
"Brady Singer","CIN",7,6,4.364661779322281,17,17,6,0,0,0,0,0,88.2,381,81,46,43,10,38,0,4,1,0,80,"Brady Singer",25377,663903
"Brandon Pfaadt","ARI",8,6,5.419708331015278,18,18,6,0,0,0,0,0,91.1,402,103,58,55,16,23,1,9,2,0,80,"Brandon Pfaadt",27782,694297
"Luis Castillo","SEA",4,5,3.550172916658582,17,17,10,0,0,0,0,0,96.1,407,92,40,38,12,32,0,2,1,0,79,"Luis Castillo",15689,622491
"Jeffrey Springs","ATH",6,6,4.068493283562245,18,16,8,0,0,0,0,0,97.1,412,83,55,44,16,37,0,1,0,2,79,"Jeffrey Springs",17677,605488
"Taj Bradley","TBR",5,6,4.793478260869565,17,17,9,0,0,0,0,0,92,390,84,57,49,12,36,0,4,2,0,79,"Taj Bradley",22543,671737
"Michael Lorenzen","KCR",4,8,4.953237546007926,17,17,6,0,0,0,0,0,92.2,400,99,53,51,17,28,0,2,10,0,78,"Michael Lorenzen",14843,547179
"Dean Kremer","BAL",7,7,4.268041572810032,17,16,4,0,0,0,0,0,97,408,100,48,46,12,25,0,1,5,0,78,"Dean Kremer",19350,665152
"Tyler Anderson","LAA",2,5,4.123636478039453,17,17,6,0,0,0,0,0,91.2,399,88,46,42,15,35,4,3,5,2,77,"Tyler Anderson",12880,542881
"Clay Holmes","NYM",8,4,2.9892858771888666,17,17,6,0,0,0,0,0,93.1,390,77,33,31,11,39,0,4,5,1,76,"Clay Holmes",13649,605280
"Zack Littell","TBR",7,7,3.4969880321683777,18,18,12,1,0,0,0,0,110.2,439,103,43,43,24,15,1,5,2,0,76,"Zack Littell",15823,641793
"Matthew Liberatore","STL",6,6,3.703971323170098,16,16,10,0,0,0,0,0,92.1,381,90,40,38,7,17,0,2,2,0,76,"Matthew Liberatore",22294,669461
"Michael Wacha","KCR",4,8,3.618556701030928,17,17,8,0,0,0,0,0,97,409,96,39,39,11,26,0,2,1,0,75,"Michael Wacha",14078,608379
"Jake Irvin","WSN",7,3,4.714285714285714,18,18,8,0,0,0,0,0,105,447,102,56,55,20,33,0,3,1,0,75,"Jake Irvin",21504,663623
"Jameson Taillon","CHC",7,6,4.437063173790948,17,17,10,0,0,0,0,0,95.1,388,86,48,47,22,20,0,0,1,0,74,"Jameson Taillon",11674,592791
"Bailey Ober","MIN",4,6,5.282609133729448,17,17,6,1,0,0,0,0,92,406,108,55,54,21,22,0,4,1,2,74,"Bailey Ober",21224,641927
"JP Sears","ATH",7,7,4.758992936360556,18,18,5,0,0,0,0,0,92.2,395,94,49,49,18,24,0,5,1,0,73,"JP Sears",23429,676664
"Nick Martinez","CIN",6,8,4.201986861121243,19,17,8,0,0,0,1,0,100.2,408,97,48,47,14,21,0,4,5,0,71,"Nick Martinez",12730,607259
"Andrew Heaney","PIT",4,7,4.161290322580645,17,17,7,0,0,0,0,0,93,385,81,43,43,14,31,0,3,2,0,71,"Andrew Heaney",15423,571760
"Luis Severino","ATH",2,9,5.089457117121254,18,18,7,0,0,0,0,0,104.1,462,110,64,59,11,34,1,8,3,0,71,"Luis Severino",15890,622663
"Chris Paddack","MIN",3,7,4.6421052631578945,18,18,4,0,0,0,0,0,95,400,92,53,49,13,24,0,3,2,0,68,"Chris Paddack",20099,663978
"Sandy Alcantara","MIA",4,8,7.011627906976744,17,17,4,0,0,0,0,0,86,385,89,68,67,11,35,0,4,4,1,67,"Sandy Alcantara",18684,645261
"Andre Pallante","STL",5,4,4.102473719430322,17,17,7,0,0,0,0,0,94.1,398,90,45,43,12,31,0,1,5,2,63,"Andre Pallante",26108,669467
"Kyle Hendricks","LAA",5,6,4.678700618741177,17,17,6,0,0,0,0,0,92.1,391,94,51,48,15,23,3,4,0,0,62,"Kyle Hendricks",12049,543294
"Mitchell Parker","WSN",5,8,4.6313871192312375,17,17,8,0,0,0,0,0,91.1,393,87,51,47,11,36,0,3,2,0,62,"Mitchell Parker",27636,680730
"Erick Fedde","STL",3,8,4.564748326713187,17,17,6,1,1,0,0,0,92.2,400,91,50,47,10,41,1,2,1,0,57,"Erick Fedde",17425,607200
"Tomoyuki Sugano","BAL",6,5,4.435714527441544,17,17,6,0,0,0,0,0,93.1,397,103,47,46,19,19,1,4,2,0,57,"Tomoyuki Sugano",35321,608372
"Bailey Falter","PIT",6,4,3.690647583300023,18,18,6,0,0,0,0,0,92.2,374,77,44,38,12,32,0,1,3,0,56,"Bailey Falter",20070,663559
"Randy Vásquez","SDP",3,4,3.785978072949966,18,18,6,0,0,0,0,0,90.1,391,81,39,38,12,42,0,6,3,1,49,"Randy Vasquez",24719,681190
