Season,Team_ID,Team,Team_Code,File_Code,Team_Name,Pitcher_Hand,PA,AB,H,1B,2B,3B,HR,BB,IBB,uBB,HBP,SF,SO,AVG,OBP,SLG,OPS,ISO,BB_Pct,K_Pct,uBB_Pct,Estimated_wOBA,wOBA_Source,wRC_Plus,Source,Quality,Updated_At
2026,108,LAA,ana,ana,Los Angeles Angels,L,702,608,140,91,25,2,22,70,3,67,10,8,171,0.23,0.316,0.387,0.703,0.157,9.972,24.359,9.544,0.307,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,108,LAA,ana,ana,Los Angeles Angels,R,1917,1703,399,258,80,4,57,168,5,163,36,6,478,0.234,0.315,0.386,0.701,0.152,8.764,24.935,8.503,0.308,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,119,LAD,lan,la,Los Angeles Dodgers,L,674,593,147,90,34,2,21,63,2,61,9,8,136,0.248,0.325,0.418,0.743,0.17,9.347,20.178,9.05,0.322,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,119,LAD,lan,la,Los Angeles Dodgers,R,1938,1688,455,295,83,5,72,209,8,201,14,19,391,0.27,0.351,0.453,0.804,0.183,10.784,20.175,10.372,0.347,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,146,MIA,mia,mia,Miami Marlins,L,687,599,143,94,26,7,16,65,2,63,13,6,167,0.239,0.324,0.386,0.71,0.147,9.461,24.309,9.17,0.311,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,146,MIA,mia,mia,Miami Marlins,R,1887,1673,414,282,83,8,41,168,4,164,25,18,394,0.247,0.322,0.38,0.702,0.133,8.903,20.88,8.691,0.308,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,158,MIL,mil,mil,Milwaukee Brewers,L,759,662,157,114,27,4,12,83,2,81,5,4,162,0.237,0.325,0.344,0.669,0.107,10.935,21.344,10.672,0.298,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,158,MIL,mil,mil,Milwaukee Brewers,R,1827,1585,413,274,90,4,45,204,11,193,9,11,376,0.261,0.346,0.408,0.754,0.147,11.166,20.58,10.564,0.329,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,142,MIN,min,min,Minnesota Twins,L,808,698,160,112,30,1,17,82,2,80,22,3,174,0.229,0.328,0.348,0.676,0.119,10.149,21.535,9.901,0.303,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,142,MIN,min,min,Minnesota Twins,R,1835,1643,395,251,75,8,61,150,1,149,23,17,424,0.24,0.31,0.407,0.717,0.167,8.174,23.106,8.12,0.311,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,121,NYM,nyn,nym,New York Mets,L,659,594,133,88,23,2,20,44,0,44,9,4,150,0.224,0.286,0.37,0.656,0.146,6.677,22.762,6.677,0.287,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,121,NYM,nyn,nym,New York Mets,R,1856,1678,385,265,63,6,51,143,5,138,14,12,405,0.229,0.293,0.365,0.658,0.136,7.705,21.821,7.435,0.288,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,147,NYY,nya,nyy,New York Yankees,L,819,714,179,101,39,7,32,88,3,85,5,11,188,0.251,0.333,0.459,0.792,0.208,10.745,22.955,10.379,0.338,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,147,NYY,nya,nyy,New York Yankees,R,1720,1503,359,220,69,5,65,199,7,192,8,8,394,0.239,0.329,0.421,0.75,0.182,11.57,22.907,11.163,0.326,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,143,PHI,phi,phi,Philadelphia Phillies,L,773,677,149,96,23,4,26,75,0,75,11,8,172,0.22,0.305,0.381,0.686,0.161,9.702,22.251,9.702,0.301,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
